eventID,orig_last_modified,time_value,time_value_ms,quality_standardError,latitude_value,longitude_value,depth_value, absolute_depth_value, magnitude_value_P,quality_XellipseError,quality_YellipseError,theta_ellipseError,station_coda,coda_value, quality_associatedPhaseCount,quality_associated_SPhaseCount,  quality_azimuthalGap,quality_MinEpicDist,quality_MinHipoDist, creationInfo_agencyID
2010011311.06P,2010-01-22T10:18:09,2010-01-13 11:06:26,    40,0.441,  -3.6816, -78.0225,  17.96, -14.66,   4.20,   1.98,   4.59,   14.49,   vc1,   150,    16,    4, 276.20, 159.73, 160.74,    EPN
2010011400.44P,2010-01-22T10:24:24,2010-01-14 12:44:19,   700,0.466,  -1.7680, -77.2787,  12.00,  -8.70,   4.00,   1.25,   1.77,   77.24,   vc1,   150,    37,    8, 293.37, 130.93, 131.48,    EPN
2010011412.51P,2010-01-22T10:31:41,2010-01-14 12:50:55,   540,0.249,  -2.4543, -77.7730, 174.96,-171.66,   3.70,   8.96,  11.73,  156.91,   vc1,    90,    11,    1, 347.26, 169.36, 243.50,    EPN
2010011417.56P,2010-01-14T14:07:22,2010-01-14 05:56:45,   280,0.155,  -0.3328, -78.4875,  13.26,  -9.96,   3.60,   0.36,   0.57,  148.70,   vc1,   100,    14,    3, 112.20,  18.60,  22.84,    EPN
2010011418.12P,2010-01-22T10:44:44,2010-01-14 06:11:54,   530,0.268,   0.3441, -77.4954,  97.79, -94.49,   3.70,   2.70,   3.06,   65.75,   vc1,   100,    10,    3, 335.77, 135.47, 167.08,    EPN
2010011703.04P,2010-01-22T11:18:37,2010-01-17 03:04:03,   150,0.704,  -2.7496, -78.8252,  36.58, -33.28,   4.20,   4.54,   6.81,   62.59,   vc1,   180,    28,    2, 297.48, 141.48, 146.13,    EPN
2010011816.18P,2010-01-24T13:15:53,2010-01-18 04:18:20,   290,0.418,  -0.5725, -77.6021,  27.20, -23.90,   3.60,   0.79,   1.91,   35.42,   vc1,    90,    25,    7, 225.65,  53.42,  59.94,    EPN
2010011819.12P,2010-01-24T13:22:55,2010-01-18 07:11:53,   570,0.552,  -2.7904, -76.3143, 103.13, -99.83,   4.10,   6.34,   9.67,  123.12,   vc1,   150,    21,    6, 342.73, 275.61, 294.27,    EPN
2010012002.07P,2010-01-20T10:51:32,2010-01-20 02:07:35,   930,0.267,  -0.3736, -78.5127,  26.70, -23.40,   3.50,   0.56,   1.08,  161.33,   vc1,    90,    20,    5, 128.00,  20.52,  33.67,    EPN
2010012003.32P,2010-01-20T11:21:59,2010-01-20 03:32:32,   540,0.674,  -1.2414, -80.9048,  49.34, -46.04,   4.30,   3.30,   6.53,  168.60,   vc1,   220,    30,    4, 307.78,  77.66,  92.01,    EPN
2010012215.48P,2010-01-24T14:37:43,2010-01-22 03:48:37,   990,0.554,  -0.7998, -77.3178,  10.50,  -7.20,   4.00,   0.76,   1.88,   11.04,   vc1,   170,    56,   17, 234.95,  85.87,  86.51,    EPN
2010012302.56P,2010-01-24T16:34:23,2010-01-23 02:56:29,   500,0.602,  -2.7066, -77.8463,  12.00,  -8.70,   3.80,   2.59,  15.64,  152.16,   vc1,   100,    16,    3, 322.50, 148.54, 149.02,    EPN
2010012303.25P,2010-01-24T16:37:36,2010-01-23 03:25:20,   560,0.465,  -0.2330, -78.5324,  14.48, -11.18,   3.50,   0.88,   1.97,   15.55,   vc1,    90,    25,    4,  91.43,   8.37,  16.72,    EPN
2010012400.33P,2010-01-24T16:50:52,2010-01-24 12:33:30,   340,0.807,   0.4508, -79.3739,  34.10, -30.80,   3.80,   2.06,   3.78,   77.90,   vc1,   110,    30,   11, 245.49,  73.18,  80.74,    EPN
2010012409.16P,2010-01-24T17:10:07,2010-01-24 09:16:39,   240,0.599,  -0.5659, -77.9784,  11.40,  -8.10,   3.60,   1.31,   3.72,   30.30,   vc1,   100,    21,    2, 220.63,  24.10,  26.66,    EPN
2010012600.49P,2010-01-27T12:09:55,2010-01-26 12:49:41,   560,0.807,   0.4353, -80.1540,  10.80,  -7.50,   3.90,   2.19,   4.45,   52.79,   vc1,   130,    32,    5, 247.92,  70.42,  71.25,    EPN
