eventID,orig_last_modified,time_value,time_value_ms,quality_standardError,latitude_value,longitude_value,depth_value, absolute_depth_value, magnitude_value_P,quality_XellipseError,quality_YellipseError,theta_ellipseError,station_coda,coda_value, quality_associatedPhaseCount,quality_associated_SPhaseCount,  quality_azimuthalGap,quality_MinEpicDist,quality_MinHipoDist, creationInfo_agencyID
2010031721.52P,2010-03-19T08:07:01,2010-03-17 09:52:01,   390,0.685,  -0.8588, -78.1349,  18.93, -15.63,   3.70,   1.00,   2.49,   20.80,   vc1,   120,    33,    5, 149.10,  31.71,  36.93,    EPN
2010031812.24P,2010-03-19T08:18:27,2010-03-18 12:24:41,   360,0.625,  -1.2086, -77.7872,  21.91, -18.61,   3.60,   0.84,   1.68,   26.43,   vc1,   100,    48,   15, 193.36,  68.54,  71.95,    EPN
2010031909.55P,2010-03-25T11:18:00,2010-03-19 09:55:33,   610,0.324,  -2.1675, -77.4629,  12.00,  -8.70,   3.60,   1.42,   5.48,  105.79,   vc1,    80,    18,    4, 325.30, 130.76, 131.31,    EPN
2010031919.57P,2010-03-25T11:20:53,2010-03-19 07:57:01,   190,0.403,  -2.6245, -78.5938, 104.14,-100.84,   4.40,   2.55,   3.07,  127.34,   vc1,   250,    43,    5, 269.01,  60.14, 120.26,    EPN
2010031922.16P,2010-03-25T11:25:39,2010-03-19 10:16:31,   120,0.650,  -1.8826, -78.2030, 215.19,-211.89,   4.00,   4.78,  17.69,    3.10,   vc1,   160,    14,    3, 132.71,  40.97, 219.06,    EPN
2010032002.36P,2010-03-25T12:07:28,2010-03-20 02:36:36,   750,0.407,  -0.4332, -78.7031,  20.27, -16.97,   3.80,   0.63,   1.81,    0.14,   vc1,   140,    27,    5, 210.94,  26.69,  33.52,    EPN
2010032004.46P,2010-03-25T12:21:50,2010-03-20 04:46:07,   280,0.533,  -0.9985, -78.3848,  39.26, -35.96,   3.50,   1.04,   4.74,    5.93,   vc1,    90,    17,    3, 158.51,   6.67,  39.82,    EPN
2010032008.15P,2010-03-25T14:13:30,2010-03-20 08:15:25,   890,0.591,  -1.6012, -79.3448,  46.78, -43.48,   3.60,   3.10,  10.47,  124.89,   vc1,    90,    12,    2, 281.06,  81.53,  94.00,    EPN
2010032015.46P,2010-03-26T08:55:30,2010-03-20 03:45:44,   380,0.654,  -2.4758, -79.7855,  12.00,  -8.70,   4.00,   4.06,  26.09,   27.47,   vc1,   140,     6,    1, 349.29, 283.49, 283.74,    EPN
2010032206.16P,2010-03-26T09:15:35,2010-03-22 06:15:44,   230,0.624,  -3.0258, -78.5246, 103.30,-100.00,   3.90,   6.47,  12.67,  156.76,   vc1,   110,    11,    3, 327.99,  93.01, 139.00,    EPN
2010032207.33P,2010-03-22T10:32:34,2010-03-22 07:33:26,   300,0.700,   0.4288, -77.0815,   7.42,  -4.12,   4.10,   2.47,   4.46,  140.58,   vc1,   180,    36,    4, 276.46,  83.39,  83.72,    EPN
2010032208.25P,2010-03-22T10:38:57,2010-03-22 08:24:59,   140,0.706,   0.3940, -77.1460,  10.00,  -6.70,   4.00,   2.01,   2.96,  146.13,   vc1,   160,    36,    8, 273.23,  75.49,  76.15,    EPN
2010032219.06P,2010-03-26T10:26:49,2010-03-22 07:06:40,   470,0.725,  -1.7280, -80.5417,  20.00, -16.70,   4.60,   2.73,   4.97,  149.78,   vc1,   350,    46,    9, 208.55,  78.56,  81.06,    EPN
2010032304.12P,2010-03-23T07:03:13,2010-03-23 04:12:10,     0,0.667,  -2.7988, -78.2727,  12.00,  -8.70,   4.30,   2.11,   6.39,  176.82,   vc1,   240,    33,   11, 333.56,  61.00,  62.17,    EPN
2010032306.28P,2010-03-26T09:46:15,2010-03-23 06:28:09,   620,0.512,  -1.0141, -79.3874, 118.13,-114.83,   3.50,   3.24,  12.52,  174.75,   vc1,    80,    13,    3, 284.04, 107.95, 160.03,    EPN
2010032317.12P,2010-03-26T09:47:34,2010-03-23 05:12:16,   230,0.494,  -2.7398, -78.1262, 126.41,-123.11,   4.50,   3.86,   3.95,   66.39,   vc1,   300,    44,    4, 300.39,  54.48, 137.65,    EPN
2010032322.18P,2010-03-26T09:53:05,2010-03-23 10:18:15,   480,0.572,  -2.2852, -79.6522,  18.41, -15.11,   4.00,   2.65,   3.61,   79.06,   vc1,   150,    29,    5, 296.76, 128.94, 130.25,    EPN
2010032516.28P,2010-03-26T10:23:18,2010-03-25 04:28:07,   720,0.343,  -0.9841, -78.5013,   6.44,  -3.14,   3.60,   0.67,   1.88,  176.26,   vc1,   100,    15,    3, 177.56,  15.29,  16.59,    EPN
2010032601.56P,2011-01-13T10:29:04,2010-03-26 01:56:33,     0,0.556,  -1.1449, -78.4689,  13.17,  -9.87,   4.90,   0.66,   2.98,    3.03,   vc1,   780,    28,    2, 132.81,  13.34,  18.75,    EPN
2010032602.43P,2010-03-26T11:50:45,2010-03-26 02:43:04,    60,0.326,  -1.9676, -78.7617,  12.92,  -9.62,   4.60,   0.93,   2.76,  179.97,   vc1,   400,    17,    7, 251.14,  29.03,  31.78,    EPN
2010032609.25P,2010-03-26T11:43:05,2010-03-26 09:24:56,   410,0.240,  -1.1000, -78.4125,  12.71,  -9.41,   4.50,   0.39,   3.28,    1.07,   vc1,   450,    14,    2, 154.55,  35.40,  37.61,    EPN
2010032902.03P,2010-04-08T03:53:09,2010-03-29 02:03:09,   510,0.431,  -1.1623, -78.3494,   9.78,  -6.48,   4.40,   0.51,   1.48,    7.58,   vc1,   350,    37,    1,  82.14,  12.21,  15.64,    EPN
2010032902.39P,2010-04-08T03:59:07,2010-03-29 02:39:49,   760,0.508,   0.3301, -78.4277,  12.00,  -8.70,   3.50,   0.84,   1.47,   16.33,   vc1,    80,    12,    3, 168.15,  10.45,  15.91,    EPN
2010032905.42P,2010-04-08T04:03:40,2010-03-29 05:42:07,   740,0.613,  -1.1481, -78.3046,  19.74, -16.44,   3.70,   0.99,   8.05,    4.20,   vc1,   120,    19,    2, 210.78,  13.41,  23.87,    EPN
2010032906.28P,2010-04-08T04:12:35,2010-03-29 06:28:31,   670,0.178,  -1.1370, -78.3777,  14.80, -11.50,   4.00,   0.69,   4.58,    0.16,   vc1,   180,    10,    1, 188.77,  31.65,  34.94,    EPN
2010033021.10P,2010-04-08T04:29:36,2010-03-30 09:10:21,   250,0.419,  -1.5353, -78.0976, 181.20,-177.90,   3.90,   2.32,   3.98,    5.72,   vc1,   150,    37,    6, 170.60,  36.22, 184.78,    EPN
2010033107.48P,2010-04-08T04:44:38,2010-03-31 07:48:45,   320,0.129,  -1.1342, -78.3964,  19.31, -16.01,   3.80,   0.36,   2.78,    3.20,   vc1,   150,    11,    2, 182.87,  31.71,  37.13,    EPN
2010040211.17P,2010-04-09T11:44:54,2010-04-02 11:17:35,   530,0.414,   0.7591, -79.0844,  26.81, -23.51,   3.80,   1.53,   3.11,   36.63,   vc1,   110,    22,    3, 282.87,  80.75,  85.08,    EPN
2010040223.03P,2010-04-09T11:47:38,2010-04-02 11:03:16,   480,0.689,  -1.1749, -78.4198,   8.40,  -5.10,   3.80,   0.76,   3.40,    3.77,   vc1,   150,    28,    2, 104.43,  13.48,  15.89,    EPN
2010040316.46P,2010-04-09T11:56:55,2010-04-03 04:46:16,   990,0.360,  -1.1793, -78.3375,   6.62,  -3.32,   4.00,   0.38,   2.25,    2.65,   vc1,   200,    35,    3, 103.79,  14.44,  15.89,    EPN
2010040617.41P,2010-04-14T14:21:45,2010-04-06 05:41:03,   800,0.517,  -1.7559, -78.4988,   7.32,  -4.02,   3.90,   0.92,   1.42,    5.86,   vc1,   150,    41,    9, 126.06,  14.10,  15.89,    EPN
2010040618.06P,2010-04-14T14:24:54,2010-04-06 06:06:07,   550,0.238,  -1.7534, -78.4547,  12.00,  -8.70,   3.50,   1.35,   2.06,   19.18,   vc1,    80,    18,    6, 316.65,  27.39,  29.90,    EPN
2010040709.07P,2010-04-15T09:38:50,2010-04-07 09:07:22,   720,0.306,  -2.6868, -77.8948,   8.45,  -5.15,   3.70,   1.87,  14.41,  149.00,   vc1,    90,    11,    2, 347.68, 144.23, 144.48,    EPN
2010040710.25P,2010-04-16T08:32:59,2010-04-07 10:25:31,   980,0.755,   0.3017, -80.0750,  24.34, -21.04,   4.10,   1.65,   5.41,   59.07,   vc1,   180,    30,    3, 221.31,  53.31,  58.61,    EPN
2010040712.55P,2010-04-16T08:37:41,2010-04-07 12:55:11,   100,0.324,  -1.9796, -77.2047,  12.00,  -8.70,   3.70,   1.41,   4.27,   82.57,   vc1,   100,    19,    6, 330.71, 146.63, 147.12,    EPN
2010040815.12P,2010-04-16T08:40:15,2010-04-08 03:12:39,   810,0.690,   0.1076, -79.5028,  79.81, -76.51,   3.60,   2.55,   2.72,   64.05,   vc1,    90,    27,    9, 182.41,  36.18,  87.63,    EPN
2010040922.07P,2010-04-16T08:46:49,2010-04-09 10:07:18,   400,0.511,  -1.0453, -78.2879,   7.79,  -4.49,   3.70,   0.42,   2.09,    2.64,   vc1,   120,    49,   16, 163.61,  10.94,  13.43,    EPN
2010041205.52P,2010-04-21T09:13:29,2010-04-12 05:51:18,   900,0.917,  -4.8844, -77.2322,  12.00,  -8.70,   5.20,   7.44,  22.89,  156.66,   vc1,   600,    27,    2, 340.85, 311.28, 311.51,    EPN
2010041313.43P,2010-04-21T09:24:35,2010-04-13 01:42:57,    10,0.580,   0.6984, -77.0373,   5.28,  -1.98,   3.90,   2.15,   3.47,   30.79,   vc1,   120,    25,    6, 320.51, 108.66, 108.79,    EPN
2010041314.56P,2010-04-21T09:29:15,2010-04-13 02:55:37,   370,0.313,   0.2608, -79.9279,   8.89,  -5.59,   3.90,   1.84,   2.48,   49.77,   vc1,   120,    21,    1, 309.40, 153.89, 154.15,    EPN
2010041317.33P,2010-04-21T09:35:14,2010-04-13 05:33:48,   340,0.679,  -1.0329, -80.6821,  47.53, -44.23,   4.20,   2.68,   3.50,   39.77,   vc1,   180,    32,    4, 163.73,  43.78,  64.62,    EPN
2010041406.34P,2010-04-21T09:41:18,2010-04-14 06:34:12,    80,0.755,  -0.2118, -81.4702,  13.27,  -9.97,   4.10,   2.79,   5.79,    7.14,   vc1,   130,    28,    4, 272.71, 124.75, 125.45,    EPN
2010041411.01P,2010-04-21T09:45:06,2010-04-14 11:01:26,   760,0.499,  -2.2552, -77.0877, 160.46,-157.16,   4.00,   3.13,   6.28,    7.36,   vc1,   150,    33,    6, 284.08, 123.18, 202.29,    EPN
2010041422.55P,2010-04-21T09:47:21,2010-04-14 10:55:37,   580,0.282,  -2.1404, -79.0172,  11.85,  -8.55,   3.90,   1.37,   2.19,   40.98,   vc1,   140,    25,    6, 336.80,  83.61,  84.45,    EPN
2010041423.24P,2010-04-21T09:49:19,2010-04-14 11:24:13,   830,0.406,  -1.0733, -78.6923,  30.06, -26.76,   3.60,   0.59,   2.17,  179.31,   vc1,   100,    31,    7, 193.42,  34.13,  45.48,    EPN
2010041500.04P,2010-04-21T09:55:46,2010-04-15 12:04:30,    30,0.724,  -1.1331, -80.5129,  47.10, -43.80,   4.00,   2.07,   3.15,  168.14,   vc1,   150,    43,    8, 141.18,  42.12,  63.18,    EPN
2010041612.52P,2010-04-21T10:14:00,2010-04-16 12:52:21,   580,0.487,   0.9604, -78.4749,  21.62, -18.32,   3.70,   2.00,   2.11,   28.47,   vc1,   100,    24,    9, 317.64,  22.19,  30.98,    EPN
2010041614.51P,2010-04-21T11:16:20,2010-04-16 02:50:58,   650,0.570,  -1.5707, -80.9332,  10.00,  -6.70,   4.10,   3.33,   8.17,  164.21,   vc1,   150,    22,    1, 247.00,  37.67,  38.97,    EPN
2010041723.56P,2010-04-21T11:33:15,2010-04-17 11:55:36,   330,0.377,  -2.3812, -79.6307,  29.96, -26.66,   3.70,   1.61,  11.06,   65.79,   vc1,    90,    16,    5, 330.55, 148.17, 151.17,    EPN
2010041807.05P,2010-04-21T12:13:51,2010-04-18 07:05:27,   180,0.172,  -1.7332, -78.4804,  12.00,  -8.70,   3.50,   1.29,   2.49,   69.86,   vc1,    80,    14,    2, 313.24,  25.37,  28.06,    EPN
2010041807.12P,2010-04-22T12:35:23,2010-04-18 07:12:10,   130,0.558,   0.3272, -78.3944,  12.89,  -9.59,   4.10,   1.27,   1.72,   71.98,   vc1,   200,    41,    7, 224.89,  11.45,  17.24,    EPN
2010041808.25P,2010-04-22T12:40:46,2010-04-18 08:25:37,   430,0.448,   0.3190, -78.3731,  11.03,  -7.73,   3.80,   0.79,   2.41,   77.36,   vc1,   120,    29,    7, 256.22,  12.10,  16.37,    EPN
2010041808.35P,2010-04-22T12:41:45,2010-04-18 08:35:01,   670,0.348,   0.2832, -78.3784,  12.20,  -8.90,   4.50,   0.70,   1.35,   69.66,   vc1,   400,    49,    7, 219.91,   9.02,  15.17,    EPN
2010041821.54P,2010-04-21T13:05:42,2010-04-18 09:53:41,   950,0.249,  -1.7108, -77.8539, 153.40,-150.10,   3.70,   3.02,  10.69,    0.78,   vc1,   110,    16,    3, 315.59,  68.61, 168.04,    EPN
2010041822.02P,2010-04-21T13:07:03,2010-04-18 10:02:10,   420,0.438,  -0.4467, -78.6640,  26.45, -23.15,   3.60,   0.76,   2.02,  165.79,   vc1,   100,    23,    5, 196.16,  26.69,  37.58,    EPN
2010041900.33P,2010-04-20T08:33:55,2010-04-19 12:33:06,   350,0.979,   1.1079, -79.5672,  10.00,  -6.70,   4.60,   2.73,   6.10,   67.57,   vc1,   350,    40,    4, 237.56, 133.12, 133.50,    EPN
2010041901.10P,2010-04-20T08:40:55,2010-04-19 01:10:35,   830,0.924,   1.1251, -79.5288,  10.00,  -6.70,   4.20,   2.53,   7.03,   67.65,   vc1,   180,    33,    2, 237.09, 134.99, 135.36,    EPN
2010041914.20P,2010-04-20T08:47:55,2010-04-19 02:20:16,   720,0.573,   1.0152, -79.5062,  12.00,  -8.70,   3.90,   3.56,   6.61,   90.63,   vc1,   120,    10,    2, 313.12, 129.76, 130.32,    EPN
2010042005.15P,2010-04-22T12:44:58,2010-04-20 05:15:52,   480,0.192,  -0.4069, -78.5500,  13.80, -10.50,   3.60,   0.29,   1.52,  160.82,   vc1,   100,    15,    5, 187.08,  22.31,  26.24,    EPN
2010042009.02P,2010-04-22T12:46:13,2010-04-20 09:02:41,   160,0.384,  -1.3375, -79.0865, 108.44,-105.14,   3.60,   2.18,   9.75,  174.70,   vc1,   100,    12,    2, 276.87,  69.92, 129.03,    EPN
2010042118.17P,2010-04-23T08:57:09,2010-04-21 06:17:21,   750,0.685,   0.0878, -77.8839,   7.94,  -4.64,   4.10,   1.21,   1.64,  126.47,   vc1,   200,    46,    7, 156.90,  11.95,  14.35,    EPN
2010042217.45P,2010-04-23T09:02:24,2010-04-22 05:45:26,   320,0.431,  -0.9882, -79.2590, 115.01,-111.71,   3.60,   1.64,   3.15,  169.82,   vc1,   100,    28,    4, 207.84,  75.96, 137.83,    EPN
2010042319.51P,2010-04-26T12:26:33,2010-04-23 07:50:52,   420,0.520,  -1.6879, -77.7818,  12.73,  -9.43,   3.70,   1.19,   1.60,   50.02,   vc1,   100,    47,   10, 210.85,  75.02,  76.09,    EPN
2010042403.37P,2010-04-26T12:30:58,2010-04-24 03:37:40,   820,0.455,  -2.0629, -77.6404,  20.15, -16.85,   3.70,   1.68,   4.07,  118.52,   vc1,   100,    30,   10, 328.07, 107.93, 109.79,    EPN
2010042507.59P,2010-04-26T12:48:33,2010-04-25 07:59:19,   780,0.374,   0.0666, -78.4585,  12.00,  -8.70,   3.50,   0.56,   1.14,   24.58,   vc1,    80,    17,    2, 150.68,  19.08,  22.54,    EPN
2010042521.46P,2010-04-26T12:52:00,2010-04-25 09:46:33,   780,0.182,  -1.5306, -77.9471, 184.20,-180.90,   3.50,   3.65,   5.41,    6.33,   vc1,    80,     8,    1, 299.86,  52.26, 191.47,    EPN
2010042522.09P,2010-04-26T12:54:25,2010-04-25 10:08:32,   890,0.289,  -1.7103, -77.7262, 200.60,-197.30,   3.90,   1.85,   5.34,  179.18,   vc1,   150,    34,    4, 229.37,  79.63, 215.83,    EPN
2010042522.14P,2010-04-26T12:58:35,2010-04-25 10:14:26,    60,0.271,  -1.2342, -78.0404,  66.78, -63.48,   3.50,   1.68,   9.99,    0.61,   vc1,    80,    10,    3, 215.64,  46.82,  81.56,    EPN
2010042710.23P,2010-04-27T10:02:57,2010-04-27 10:23:02,   850,0.410,  -1.2023, -78.3290,  14.80, -11.50,   3.60,   0.96,   3.99,    6.82,   vc1,   100,    26,    4, 186.14,  17.17,  22.67,    EPN
2010042714.00P,2010-04-27T10:03:43,2010-04-27 02:00:21,   610,0.343,  -0.9457, -79.2406, 109.10,-105.80,   4.30,   0.83,   1.50,  173.12,   vc1,   300,    49,    6, 162.94,  72.16, 130.81,    EPN
2010042813.51P,2010-04-29T02:34:31,2010-04-28 01:51:09,   470,0.499,  -1.6648, -79.0629,  40.48, -37.18,   3.60,   4.69,  12.32,   76.44,   vc1,    90,    16,    4, 313.58,  50.98,  65.09,    EPN
2010042908.48P,2010-04-29T10:10:02,2010-04-29 08:48:32,    80,0.728,   0.0643, -77.4080,  15.22, -11.92,   4.70,   1.70,   3.22,  155.21,   vc1,   480,    55,   11, 251.14,  30.02,  33.65,    EPN
2010042908.57P,2010-04-29T08:08:19,2010-04-29 08:57:48,   140,0.354,   0.0901, -77.5383,  10.43,  -7.13,   3.50,   1.55,   2.07,  163.97,   vc1,    80,    14,    3, 255.68,  21.21,  23.63,    EPN
2010043005.30P,2010-04-30T09:24:10,2010-04-30 05:30:10,   480,0.520,  -1.7212, -77.7280,  13.94, -10.64,   4.00,   0.76,   1.34,   43.23,   vc1,   160,    60,   19, 217.93,  78.59,  79.82,    EPN
2010043005.37P,2010-04-30T09:28:34,2010-04-30 05:36:48,   930,0.380,  -1.6976, -77.7900,  14.49, -11.19,   3.60,   0.79,   1.41,   25.94,   vc1,    90,    35,    7, 211.07,  74.59,  75.99,    EPN
2010043008.25P,2010-04-30T09:48:07,2010-04-30 08:25:17,   530,0.766,  -1.5211, -79.9715,  22.49, -19.19,   3.90,   1.80,   5.85,  120.57,   vc1,   120,    32,    4, 183.79,  94.41,  97.05,    EPN
2010050110.21P,2010-05-05T13:47:00,2010-05-01 10:21:26,   300,0.645,   0.8055, -79.1252,  16.86, -13.56,   3.80,   2.07,   2.34,   58.81,   vc1,   120,    36,    8, 233.52,  66.38,  68.49,    EPN
2010050119.18P,2010-05-05T15:52:42,2010-05-01 07:18:30,   810,0.349,  -0.4488, -78.5949,  20.53, -17.23,   3.70,   0.48,   1.18,  169.08,   vc1,   130,    28,    6, 166.66,  21.76,  29.91,    EPN
2010050202.19P,2010-05-05T15:56:40,2010-05-02 02:19:07,   440,0.610,  -3.8555, -77.5929,  14.45, -11.15,   4.00,   2.50,  28.31,  160.61,   vc1,   120,    14,    4, 353.50, 277.24, 277.62,    EPN
2010050210.34P,2010-05-06T07:25:39,2010-05-02 10:34:15,   640,0.462,  -1.7512, -77.6109,  13.46, -10.16,   3.80,   0.86,   1.28,   45.11,   vc1,   110,    49,   14, 230.03,  85.55,  86.60,    EPN
2010050218.33P,2010-05-06T07:37:28,2010-05-02 06:32:51,   140,0.684,  -2.5837, -77.7909,  12.00,  -8.70,   3.90,   2.99,  12.15,  139.04,   vc1,   120,    18,    4, 305.52,  58.19,  59.42,    EPN
2010050300.22P,2010-05-06T08:13:01,2010-05-03 12:22:31,    40,1.297,  -0.9382, -80.4748,  10.00,  -6.70,   4.00,   2.74,   8.59,   45.72,   vc1,   150,    29,    2, 140.08,  20.63,  22.92,    EPN
2010050301.00P,2010-05-06T08:27:53,2010-05-03 01:00:00,   340,0.773,  -2.8996, -77.8258,  12.00,  -8.70,   4.10,   1.92,   9.76,  149.01,   vc1,   160,    38,   12, 333.10,  82.75,  83.62,    EPN
2010050307.46P,2010-05-06T08:46:44,2010-05-03 07:45:50,   570,0.470,  -1.0198, -79.4053, 115.35,-112.05,   3.70,   1.55,   2.10,  169.52,   vc1,   100,    36,    3, 151.04,  92.22, 147.69,    EPN
2010050401.04P,2010-05-12T07:49:34,2010-05-04 01:04:10,    40,0.395,  -2.4675, -77.7300,  12.00,  -8.70,   3.80,   1.64,   6.06,  140.02,   vc1,   100,    23,    8, 337.33, 132.49, 133.03,    EPN
2010050512.01P,2010-05-12T08:17:19,2010-05-05 12:00:50,   290,0.997,   0.5143, -80.1603,  13.19,  -9.89,   4.10,   2.12,   5.40,   54.05,   vc1,   170,    34,    4, 241.13,  78.01,  79.12,    EPN
2010050517.12P,2010-05-12T08:34:16,2010-05-05 05:11:36,   670,0.525,  -2.1931, -79.9279,  27.18, -23.88,   3.80,   1.75,   4.91,   96.25,   vc1,   110,    29,    6, 276.91, 163.16, 165.41,    EPN
2010050707.32P,2010-05-12T09:05:53,2010-05-07 07:32:14,   210,0.732,  -2.0379, -80.1210,   6.95,  -3.65,   4.10,   1.36,   5.00,  112.59,   vc1,   170,    35,    3, 212.73, 128.56, 128.75,    EPN
2010050818.34P,2010-05-12T09:36:38,2010-05-08 06:33:59,   990,0.204,   0.0745, -77.4912,  10.73,  -7.43,   3.70,   0.75,   1.43,  148.15,   vc1,   110,    15,    2, 292.47,  23.23,  25.59,    EPN
2010050823.49P,2010-05-12T09:43:45,2010-05-08 11:48:49,   700,0.297,  -1.6304, -79.1207, 142.55,-139.25,   3.70,   4.53,   7.26,  157.23,   vc1,   100,    11,    2, 340.12, 131.32, 193.81,    EPN
2010050922.09P,2010-05-12T10:24:44,2010-05-09 10:09:55,   160,0.499,  -0.5574, -78.6994,  24.71, -21.41,   3.70,   0.75,   1.96,  172.49,   vc1,   120,    30,    7, 206.04,  16.49,  29.71,    EPN
2010050922.49P,2010-05-12T11:50:05,2010-05-09 10:48:51,   280,0.451,  -3.6402, -77.8989,  31.32, -28.02,   4.20,   3.81,  10.57,  164.18,   vc1,   150,    29,    2, 340.44, 157.49, 160.57,    EPN
2010051108.45P,2010-05-14T08:55:39,2010-05-11 08:45:24,   790,0.569,  -1.1952, -77.8001,  12.78,  -9.48,   3.60,   0.63,   1.43,   27.56,   vc1,   100,    56,   18, 191.75,  66.79,  68.00,    EPN
2010051201.54P,2010-05-14T09:07:53,2010-05-12 01:54:34,   520,0.767,  -2.7833, -78.3150,  12.00,  -8.70,   3.80,   2.50,   6.05,  177.20,   vc1,   110,    36,   12, 329.93,  60.13,  61.32,    EPN
2010051202.37P,2010-05-14T09:14:35,2010-05-12 02:37:34,   630,0.587,  -0.8874, -79.4360,  42.02, -38.72,   4.00,   0.82,   1.22,  113.25,   vc1,   170,    44,    5, 119.26,  90.82, 100.07,    EPN
2010051216.26P,2010-05-14T09:18:18,2010-05-12 04:25:43,   420,0.525,  -1.8737, -78.8762, 121.99,-118.69,   4.10,   2.27,   3.24,   78.13,   vc1,   200,    46,    2, 174.55,  31.35, 125.95,    EPN
2010051218.16P,2010-05-14T09:24:05,2010-05-12 06:16:26,   200,0.349,  -1.2165, -77.8259,  12.00,  -8.70,   3.50,   1.09,   2.22,   26.49,   vc1,    80,    21,    6, 235.46,  64.61,  65.71,    EPN
2010051218.32P,2010-05-14T09:31:30,2010-05-12 06:32:40,   770,0.494,  -1.0226, -78.3290,  13.24,  -9.94,   3.90,   0.56,   4.28,  179.17,   vc1,   180,    29,    3, 174.49,   7.44,  15.19,    EPN
2010051218.43P,2010-05-14T09:33:23,2010-05-12 06:43:00,   680,0.598,  -1.0208, -78.3008,  12.11,  -8.81,   3.90,   0.51,   1.69,    1.37,   vc1,   180,    53,   14,  85.26,  10.30,  15.90,    EPN
2010051314.54P,2010-05-20T07:37:37,2010-05-13 02:54:04,     0,0.550,   1.0177, -79.6066,  12.00,  -8.70,   3.80,   4.93,   7.69,  141.55,   vc1,   100,    13,    1, 304.74, 160.09, 160.54,    EPN
2010051404.27P,2010-05-20T07:39:05,2010-05-14 04:27:33,   110,0.362,  -0.2392, -78.3556,  10.16,  -6.86,   3.50,   0.51,   0.70,  177.96,   vc1,    90,    26,    5,  83.32,  27.47,  29.29,    EPN
2010051607.28P,2010-05-20T07:59:54,2010-05-16 07:28:32,   770,0.608,  -2.6408, -78.1018,  12.00,  -8.70,   4.20,   1.69,   6.75,  155.59,   vc1,   200,    41,   12, 324.48, 131.32, 131.87,    EPN
2010051619.59P,2010-05-20T08:25:16,2010-05-16 07:59:08,   200,0.487,  -2.7691, -77.4039,  93.42, -90.12,   3.80,   4.03,  11.12,  160.69,   vc1,   100,    22,    6, 320.99, 105.17, 140.67,    EPN
2010051717.59P,2010-05-20T10:40:58,2010-05-17 05:59:03,   570,0.286,  -2.6483, -79.0724,  76.35, -73.05,   4.00,   2.48,   5.28,  157.25,   vc1,   140,    11,    3, 311.89, 106.49, 131.03,    EPN
2010051807.23P,2010-05-20T10:47:03,2010-05-18 07:22:53,   100,0.519,  -2.1595, -79.9346,  13.62, -10.32,   3.90,   1.78,   3.13,   90.51,   vc1,   120,    32,    7, 298.70, 152.61, 153.22,    EPN
2010051904.16P,2010-05-19T09:52:45,2010-05-19 04:15:38,   430,0.585,  -5.3932, -77.5984, 121.15,-117.85,   6.00,   6.73,   8.41,   63.26,   vc1,  2000,    41,    2, 324.54, 355.03, 375.13,    EPN
2010051913.01P,2010-05-20T11:04:44,2010-05-19 01:01:13,   780,0.594,  -2.0813, -79.7808,  14.59, -11.29,   4.00,   1.08,   6.06,   97.93,   vc1,   140,    38,    4, 228.60, 133.73, 134.53,    EPN
2010052017.39P,2010-05-20T14:06:48,2010-05-20 05:38:49,   900,0.518,  -2.0253, -78.3830, 156.29,-152.99,   4.70,   1.23,   2.16,   34.76,   vc1,   450,    57,   12,  86.68,  32.57, 159.65,    EPN
2010052121.50P,2010-05-27T12:54:21,2010-05-21 09:50:25,   190,0.499,  -1.4772, -77.9332,  24.94, -21.64,   3.90,   1.11,   2.10,   10.48,   vc1,   150,    45,   11, 186.39,  52.92,  58.50,    EPN
2010052200.27P,2010-05-27T12:58:51,2010-05-22 12:27:41,    40,0.461,  -1.0586, -78.7448,   5.13,  -1.83,   4.20,   0.43,   1.11,  174.25,   vc1,   250,    56,    9, 100.05,  39.92,  40.25,    EPN
2010052207.16P,2010-05-25T12:21:17,2010-05-22 07:16:03,   110,0.714,  -1.6763, -80.3389,   8.37,  -5.07,   4.10,   1.78,   2.55,  129.18,   vc1,   150,    52,   12, 194.29,  81.66,  82.09,    EPN
2010052211.23P,2010-05-27T13:33:05,2010-05-22 11:23:23,   210,0.713,  -2.2617, -77.2568,  26.88, -23.58,   3.90,   2.31,   3.85,  120.30,   vc1,   130,    42,   15, 300.67, 155.65, 157.95,    EPN
2010052214.02P,2010-05-27T13:39:57,2010-05-22 02:02:03,    80,0.465,   0.5894, -77.0499,  10.80,  -7.50,   3.80,   1.41,   1.90,   11.96,   vc1,   110,    34,   13, 301.29,  98.49,  99.08,    EPN
2010052220.07P,2010-05-27T13:46:44,2010-05-22 08:07:55,   130,0.356,  -1.1633, -78.3306,  14.80, -11.50,   3.70,   0.59,   2.81,   10.04,   vc1,   120,    26,    2, 103.12,  13.15,  19.79,    EPN
2010052300.00P,2010-05-27T13:51:32,2010-05-23 12:00:16,   900,0.449,  -2.1268, -78.0968, 161.75,-158.45,   3.90,   3.17,   7.42,   16.90,   vc1,   140,    27,    3, 317.99,  78.53, 179.80,    EPN
2010052301.50P,2010-05-27T13:53:36,2010-05-23 01:50:16,   310,0.635,  -0.7559, -79.8576,  16.74, -13.44,   3.60,   2.77,   4.64,   33.50,   vc1,    90,    20,    4, 294.84, 151.63, 152.55,    EPN
